timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w
2026/07/30 10:16:45.283, 4, 1, 0, 138.98
2026/07/30 10:16:45.284, 5, 1, 0, 126.06
2026/07/30 10:16:47.447, 4, 1, 0, 139.01
2026/07/30 10:16:47.447, 5, 1, 0, 126.07
2026/07/30 10:16:49.580, 4, 4, 0, 139.10
2026/07/30 10:16:49.580, 5, 4, 0, 126.14
2026/07/30 10:16:51.716, 4, 4, 0, 138.95
2026/07/30 10:16:51.716, 5, 4, 0, 126.06
2026/07/30 10:16:53.848, 4, 4, 0, 138.97
2026/07/30 10:16:53.848, 5, 4, 0, 126.03
2026/07/30 10:16:55.985, 4, 4, 0, 138.98
2026/07/30 10:16:55.986, 5, 4, 0, 126.11
2026/07/30 10:16:58.125, 4, 4, 0, 138.92
2026/07/30 10:16:58.126, 5, 4, 0, 126.04
2026/07/30 10:17:00.411, 4, 718, 0, 136.29
2026/07/30 10:17:00.414, 5, 718, 0, 123.15
2026/07/30 10:17:02.556, 4, 1274, 0, 134.72
2026/07/30 10:17:02.557, 5, 1274, 0, 121.79
2026/07/30 10:17:04.704, 4, 17324, 61, 153.25
2026/07/30 10:17:04.705, 5, 17324, 31, 141.04
2026/07/30 10:17:06.840, 4, 17324, 7, 158.13
2026/07/30 10:17:06.841, 5, 17324, 100, 146.95
2026/07/30 10:17:08.982, 4, 17324, 7, 157.45
2026/07/30 10:17:08.983, 5, 17324, 100, 146.41
2026/07/30 10:17:11.117, 4, 17324, 7, 159.77
2026/07/30 10:17:11.118, 5, 17324, 99, 148.41
2026/07/30 10:17:13.259, 4, 17324, 7, 159.97
2026/07/30 10:17:13.260, 5, 17324, 100, 148.35
2026/07/30 10:17:15.390, 4, 17324, 4, 157.83
2026/07/30 10:17:15.391, 5, 17324, 99, 146.24
2026/07/30 10:17:17.550, 4, 17324, 5, 151.70
2026/07/30 10:17:17.550, 5, 17324, 100, 139.88
2026/07/30 10:17:19.683, 4, 15664, 0, 134.87
2026/07/30 10:17:19.684, 5, 15664, 0, 122.04
2026/07/30 10:17:21.829, 4, 15664, 0, 134.84
2026/07/30 10:17:21.830, 5, 15664, 0, 121.92
2026/07/30 10:17:23.965, 4, 15862, 8, 135.62
2026/07/30 10:17:23.966, 5, 15862, 8, 122.63
2026/07/30 10:17:26.112, 4, 15862, 8, 135.59
2026/07/30 10:17:26.112, 5, 15862, 8, 122.61
2026/07/30 10:17:28.303, 4, 15862, 8, 135.60
2026/07/30 10:17:28.303, 5, 15862, 8, 122.67
2026/07/30 10:17:30.436, 4, 15862, 8, 135.46
2026/07/30 10:17:30.437, 5, 15862, 7, 122.49
2026/07/30 10:17:32.566, 4, 15762, 0, 136.10
2026/07/30 10:17:32.567, 5, 15762, 20, 123.74
2026/07/30 10:17:34.713, 4, 39022, 6, 135.21
2026/07/30 10:17:34.714, 5, 39022, 0, 122.36
2026/07/30 10:17:36.857, 4, 39022, 7, 135.08
2026/07/30 10:17:36.858, 5, 39022, 4, 122.07
2026/07/30 10:17:38.999, 4, 39022, 31, 134.83
2026/07/30 10:17:39.000, 5, 39022, 0, 121.88
2026/07/30 10:17:41.163, 4, 39022, 0, 134.76
2026/07/30 10:17:41.164, 5, 39022, 0, 121.72
2026/07/30 10:17:43.303, 4, 39022, 0, 134.70
2026/07/30 10:17:43.304, 5, 39022, 0, 121.71
2026/07/30 10:17:45.578, 4, 42990, 38, 135.29
2026/07/30 10:17:45.583, 5, 42990, 38, 122.21
2026/07/30 10:17:47.852, 4, 46830, 0, 135.26
2026/07/30 10:17:47.853, 5, 46830, 0, 121.86
2026/07/30 10:17:50.008, 4, 46830, 0, 134.65
2026/07/30 10:17:50.009, 5, 46830, 0, 121.62
2026/07/30 10:17:52.369, 4, 46838, 0, 134.70
2026/07/30 10:17:52.370, 5, 46838, 0, 121.66
2026/07/30 10:17:54.524, 4, 46838, 0, 134.67
2026/07/30 10:17:54.525, 5, 46838, 0, 121.58
2026/07/30 10:17:56.678, 4, 46838, 0, 134.62
2026/07/30 10:17:56.681, 5, 46838, 0, 121.55
2026/07/30 10:17:58.841, 4, 46838, 0, 134.62
2026/07/30 10:17:58.842, 5, 46838, 0, 121.53
2026/07/30 10:18:01.060, 4, 47814, 0, 134.93
2026/07/30 10:18:01.061, 5, 47814, 0, 121.86
2026/07/30 10:18:03.220, 4, 47814, 0, 134.57
2026/07/30 10:18:03.221, 5, 47814, 0, 121.53
2026/07/30 10:18:05.366, 4, 47814, 0, 134.63
2026/07/30 10:18:05.367, 5, 47814, 0, 121.45
2026/07/30 10:18:07.521, 4, 47814, 0, 134.56
2026/07/30 10:18:07.522, 5, 47814, 0, 121.49
2026/07/30 10:18:09.682, 4, 47814, 0, 134.56
2026/07/30 10:18:09.683, 5, 47814, 0, 121.42
2026/07/30 10:18:11.840, 4, 47814, 0, 134.62
2026/07/30 10:18:11.841, 5, 47814, 0, 121.42
2026/07/30 10:18:14.023, 4, 47814, 0, 134.58
2026/07/30 10:18:14.024, 5, 47814, 0, 121.42
2026/07/30 10:18:16.199, 4, 47846, 0, 134.67
2026/07/30 10:18:16.200, 5, 47846, 0, 121.44
2026/07/30 10:18:18.345, 4, 52378, 0, 140.22
2026/07/30 10:18:18.346, 5, 52378, 0, 125.44
2026/07/30 10:18:20.505, 4, 55448, 19, 262.90
2026/07/30 10:18:20.507, 5, 55448, 19, 268.35
2026/07/30 10:18:22.642, 4, 55460, 19, 269.85
2026/07/30 10:18:22.643, 5, 55460, 23, 261.27
2026/07/30 10:18:24.840, 4, 55468, 0, 186.17
2026/07/30 10:18:24.841, 5, 55468, 10, 197.76
2026/07/30 10:18:27.020, 4, 55472, 0, 186.61
2026/07/30 10:18:27.021, 5, 55472, 19, 169.94
2026/07/30 10:18:29.194, 4, 55476, 19, 184.27
2026/07/30 10:18:29.196, 5, 55476, 75, 173.73
2026/07/30 10:18:31.348, 4, 66094, 100, 633.66
2026/07/30 10:18:31.350, 5, 66874, 100, 632.57
2026/07/30 10:18:33.556, 4, 69694, 100, 679.36
2026/07/30 10:18:33.558, 5, 69496, 100, 690.71
2026/07/30 10:18:35.751, 4, 75274, 100, 659.14
2026/07/30 10:18:35.752, 5, 75136, 100, 643.40
2026/07/30 10:18:37.904, 4, 83614, 100, 688.68
2026/07/30 10:18:37.906, 5, 82956, 100, 680.34
2026/07/30 10:18:40.146, 4, 83616, 100, 682.04
2026/07/30 10:18:40.148, 5, 82956, 100, 693.29
2026/07/30 10:18:42.302, 4, 88136, 94, 672.27
2026/07/30 10:18:42.304, 5, 87556, 100, 650.84
2026/07/30 10:18:44.447, 4, 90616, 100, 691.65
2026/07/30 10:18:44.452, 5, 90036, 100, 683.66
2026/07/30 10:18:46.623, 4, 90616, 100, 692.31
2026/07/30 10:18:46.624, 5, 90036, 100, 684.80
2026/07/30 10:18:48.788, 4, 91416, 100, 677.98
2026/07/30 10:18:48.789, 5, 90856, 100, 644.62
2026/07/30 10:18:50.946, 4, 94336, 99, 623.08
2026/07/30 10:18:50.948, 5, 93656, 99, 593.42
2026/07/30 10:18:53.105, 4, 94336, 99, 659.13
2026/07/30 10:18:53.107, 5, 93656, 99, 657.19
2026/07/30 10:18:55.262, 4, 94336, 99, 681.41
2026/07/30 10:18:55.264, 5, 93656, 99, 689.44
2026/07/30 10:18:57.580, 4, 116716, 0, 141.91
2026/07/30 10:18:57.588, 5, 116116, 0, 132.53
2026/07/30 10:18:59.876, 4, 116716, 0, 140.73
2026/07/30 10:18:59.879, 5, 116116, 0, 131.54
2026/07/30 10:19:02.200, 4, 116716, 0, 140.18
2026/07/30 10:19:02.206, 5, 116116, 0, 130.76
2026/07/30 10:19:04.526, 4, 116716, 0, 139.08
2026/07/30 10:19:04.529, 5, 116116, 0, 130.22
2026/07/30 10:19:06.934, 4, 116716, 0, 138.56
2026/07/30 10:19:06.942, 5, 116116, 0, 129.55
2026/07/30 10:19:09.309, 4, 116716, 0, 138.23
2026/07/30 10:19:09.311, 5, 116116, 0, 128.93
2026/07/30 10:19:11.480, 4, 118178, 100, 689.30
2026/07/30 10:19:11.482, 5, 117578, 100, 681.00
2026/07/30 10:19:13.683, 4, 125878, 100, 690.16
2026/07/30 10:19:13.685, 5, 124798, 100, 687.29
2026/07/30 10:19:15.865, 4, 126118, 100, 687.97
2026/07/30 10:19:15.867, 5, 125418, 100, 697.26
2026/07/30 10:19:18.049, 4, 126118, 100, 690.35
2026/07/30 10:19:18.051, 5, 125418, 100, 692.18
2026/07/30 10:19:20.211, 4, 126118, 100, 689.56
2026/07/30 10:19:20.213, 5, 125418, 100, 697.23
2026/07/30 10:19:22.356, 4, 126158, 100, 691.13
2026/07/30 10:19:22.358, 5, 125418, 100, 697.05
2026/07/30 10:19:24.564, 4, 126158, 100, 679.95
2026/07/30 10:19:24.566, 5, 125418, 100, 672.32
2026/07/30 10:19:26.781, 4, 126158, 100, 692.05
2026/07/30 10:19:26.783, 5, 125418, 100, 693.50
