timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w
2026/07/30 09:44:49.128, 4, 1, 0, 138.95
2026/07/30 09:44:49.129, 5, 1, 0, 125.91
2026/07/30 09:44:51.265, 4, 1, 0, 138.94
2026/07/30 09:44:51.265, 5, 1, 0, 125.93
2026/07/30 09:44:53.393, 4, 4, 0, 138.96
2026/07/30 09:44:53.394, 5, 4, 0, 126.00
2026/07/30 09:44:55.528, 4, 4, 0, 138.94
2026/07/30 09:44:55.528, 5, 4, 0, 125.95
2026/07/30 09:44:57.658, 4, 4, 0, 139.02
2026/07/30 09:44:57.658, 5, 4, 0, 125.92
2026/07/30 09:44:59.792, 4, 4, 0, 138.97
2026/07/30 09:44:59.792, 5, 4, 0, 125.93
2026/07/30 09:45:01.937, 4, 4, 0, 138.96
2026/07/30 09:45:01.938, 5, 4, 0, 125.86
2026/07/30 09:45:04.120, 4, 984, 0, 135.88
2026/07/30 09:45:04.120, 5, 984, 0, 122.81
2026/07/30 09:45:06.251, 4, 1460, 1, 135.09
2026/07/30 09:45:06.252, 5, 1460, 0, 122.09
2026/07/30 09:45:08.385, 4, 17324, 14, 151.54
2026/07/30 09:45:08.389, 5, 17324, 50, 140.12
2026/07/30 09:45:10.533, 4, 17324, 0, 134.96
2026/07/30 09:45:10.534, 5, 17324, 0, 121.92
2026/07/30 09:45:12.648, 4, 17324, 1, 135.06
2026/07/30 09:45:12.650, 5, 17324, 100, 124.27
2026/07/30 09:45:14.798, 4, 17324, 1, 135.10
2026/07/30 09:45:14.799, 5, 17324, 100, 124.19
2026/07/30 09:45:16.939, 4, 17324, 1, 140.73
2026/07/30 09:45:16.940, 5, 17324, 99, 129.54
2026/07/30 09:45:19.082, 4, 17324, 2, 140.46
2026/07/30 09:45:19.083, 5, 17324, 100, 129.34
2026/07/30 09:45:21.217, 4, 17324, 1, 140.55
2026/07/30 09:45:21.218, 5, 17324, 100, 129.25
2026/07/30 09:45:23.373, 4, 17324, 1, 140.31
2026/07/30 09:45:23.373, 5, 17324, 100, 128.99
2026/07/30 09:45:25.514, 4, 17324, 0, 134.94
2026/07/30 09:45:25.515, 5, 17324, 0, 122.00
2026/07/30 09:45:27.650, 4, 17324, 1, 140.47
2026/07/30 09:45:27.653, 5, 17324, 99, 129.29
2026/07/30 09:45:29.815, 4, 17324, 2, 141.88
2026/07/30 09:45:29.816, 5, 17324, 100, 130.98
2026/07/30 09:45:31.967, 4, 17324, 1, 140.32
2026/07/30 09:45:31.968, 5, 17324, 100, 129.35
2026/07/30 09:45:34.120, 4, 17324, 1, 140.27
2026/07/30 09:45:34.120, 5, 17324, 100, 129.11
2026/07/30 09:45:36.264, 4, 17324, 1, 140.20
2026/07/30 09:45:36.265, 5, 17324, 100, 129.10
2026/07/30 09:45:38.412, 4, 17324, 1, 141.52
2026/07/30 09:45:38.412, 5, 17324, 100, 131.51
2026/07/30 09:45:40.554, 4, 17324, 0, 136.58
2026/07/30 09:45:40.555, 5, 17324, 0, 123.58
2026/07/30 09:45:42.693, 4, 17324, 1, 139.89
2026/07/30 09:45:42.694, 5, 17324, 100, 129.43
2026/07/30 09:45:44.830, 4, 17324, 1, 136.75
2026/07/30 09:45:44.830, 5, 17324, 100, 125.79
2026/07/30 09:45:46.995, 4, 17324, 2, 138.45
2026/07/30 09:45:46.996, 5, 17324, 100, 127.51
2026/07/30 09:45:49.137, 4, 17324, 2, 138.09
2026/07/30 09:45:49.137, 5, 17324, 100, 127.02
2026/07/30 09:45:51.271, 4, 17324, 1, 141.68
2026/07/30 09:45:51.272, 5, 17324, 100, 130.34
2026/07/30 09:45:53.410, 4, 17324, 0, 134.95
2026/07/30 09:45:53.411, 5, 17324, 0, 121.81
2026/07/30 09:45:55.582, 4, 17324, 1, 140.07
2026/07/30 09:45:55.583, 5, 17324, 100, 129.51
2026/07/30 09:45:57.728, 4, 17324, 1, 138.27
2026/07/30 09:45:57.729, 5, 17324, 100, 127.32
2026/07/30 09:45:59.870, 4, 17324, 1, 139.84
2026/07/30 09:45:59.870, 5, 17324, 99, 128.96
2026/07/30 09:46:02.013, 4, 17324, 1, 140.09
2026/07/30 09:46:02.014, 5, 17324, 100, 128.91
2026/07/30 09:46:04.163, 4, 17324, 1, 142.64
2026/07/30 09:46:04.164, 5, 17324, 100, 131.94
2026/07/30 09:46:06.307, 4, 17324, 1, 136.29
2026/07/30 09:46:06.308, 5, 17324, 100, 124.06
2026/07/30 09:46:08.444, 4, 17324, 1, 138.06
2026/07/30 09:46:08.445, 5, 17324, 100, 126.93
2026/07/30 09:46:10.583, 4, 17324, 1, 138.50
2026/07/30 09:46:10.584, 5, 17324, 99, 128.90
2026/07/30 09:46:12.751, 4, 17324, 1, 140.34
2026/07/30 09:46:12.753, 5, 17324, 100, 129.12
2026/07/30 09:46:14.894, 4, 17324, 1, 141.96
2026/07/30 09:46:14.895, 5, 17324, 100, 130.60
2026/07/30 09:46:17.047, 4, 17324, 0, 136.63
2026/07/30 09:46:17.047, 5, 17324, 0, 124.44
2026/07/30 09:46:19.188, 4, 17324, 1, 138.18
2026/07/30 09:46:19.200, 5, 17324, 100, 126.85
2026/07/30 09:46:21.366, 4, 17324, 2, 142.11
2026/07/30 09:46:21.367, 5, 17324, 100, 130.88
2026/07/30 09:46:23.534, 4, 17324, 1, 141.94
2026/07/30 09:46:23.534, 5, 17324, 100, 130.58
2026/07/30 09:46:25.669, 4, 17324, 1, 138.20
2026/07/30 09:46:25.670, 5, 17324, 100, 128.70
2026/07/30 09:46:27.809, 4, 17324, 1, 138.12
2026/07/30 09:46:27.810, 5, 17324, 100, 127.22
2026/07/30 09:46:29.948, 4, 17324, 0, 136.16
2026/07/30 09:46:29.948, 5, 17324, 0, 121.88
2026/07/30 09:46:32.087, 4, 17324, 1, 141.80
2026/07/30 09:46:32.088, 5, 17324, 100, 130.74
2026/07/30 09:46:34.224, 4, 17324, 1, 141.79
2026/07/30 09:46:34.225, 5, 17324, 100, 130.50
2026/07/30 09:46:36.386, 4, 17324, 2, 138.35
2026/07/30 09:46:36.387, 5, 17324, 100, 127.26
2026/07/30 09:46:38.528, 4, 17324, 1, 136.92
2026/07/30 09:46:38.529, 5, 17324, 100, 127.24
2026/07/30 09:46:40.745, 4, 17324, 1, 142.80
2026/07/30 09:46:40.745, 5, 17324, 100, 131.58
2026/07/30 09:46:42.855, 4, 17324, 1, 137.54
2026/07/30 09:46:42.856, 5, 17324, 100, 126.30
2026/07/30 09:46:44.991, 4, 17324, 1, 135.01
2026/07/30 09:46:44.992, 5, 17324, 100, 123.92
2026/07/30 09:46:47.135, 4, 15664, 2, 136.72
2026/07/30 09:46:47.135, 5, 15664, 0, 125.03
2026/07/30 09:46:49.275, 4, 15664, 0, 134.67
2026/07/30 09:46:49.276, 5, 15664, 0, 121.54
2026/07/30 09:46:51.418, 4, 15862, 8, 135.37
2026/07/30 09:46:51.420, 5, 15862, 8, 122.10
2026/07/30 09:46:53.637, 4, 15862, 8, 135.49
2026/07/30 09:46:53.638, 5, 15862, 8, 122.26
2026/07/30 09:46:55.761, 4, 15862, 8, 135.48
2026/07/30 09:46:55.761, 5, 15862, 8, 122.31
2026/07/30 09:46:57.898, 4, 15862, 8, 135.53
2026/07/30 09:46:57.899, 5, 15862, 8, 122.27
2026/07/30 09:47:00.046, 4, 15762, 7, 136.46
2026/07/30 09:47:00.047, 5, 15762, 20, 123.60
2026/07/30 09:47:02.176, 4, 35182, 0, 137.84
2026/07/30 09:47:02.177, 5, 39022, 11, 128.01
2026/07/30 09:47:04.328, 4, 39022, 7, 135.13
2026/07/30 09:47:04.329, 5, 39022, 6, 121.97
2026/07/30 09:47:06.490, 4, 39022, 8, 135.15
2026/07/30 09:47:06.498, 5, 39022, 8, 122.01
2026/07/30 09:47:08.743, 4, 39022, 0, 135.07
2026/07/30 09:47:08.744, 5, 39022, 85, 121.88
2026/07/30 09:47:10.888, 4, 39030, 1, 134.73
2026/07/30 09:47:10.889, 5, 39030, 5, 121.51
2026/07/30 09:47:13.113, 4, 46830, 37, 135.81
2026/07/30 09:47:13.115, 5, 46830, 37, 122.55
2026/07/30 09:47:15.339, 4, 46838, 5, 134.72
2026/07/30 09:47:15.340, 5, 46838, 3, 121.43
2026/07/30 09:47:17.479, 4, 46838, 0, 134.68
2026/07/30 09:47:17.480, 5, 46838, 0, 121.40
2026/07/30 09:47:19.644, 4, 47814, 0, 134.76
2026/07/30 09:47:19.645, 5, 47814, 0, 121.64
2026/07/30 09:47:21.842, 4, 47814, 0, 134.63
2026/07/30 09:47:21.843, 5, 47814, 0, 121.35
2026/07/30 09:47:23.974, 4, 47814, 0, 134.66
2026/07/30 09:47:23.975, 5, 47814, 0, 121.35
